,player_number,shoe_size,games_this_season,games_last_season,games_career,times_faced_opponent,bounces_per_bowl,bumper_inflation,win
0,1000025,7,5,10,100,4,3,100,0
1,1002945,7,20,40,500,40,3,200,0
2,1015425,5,5,10,100,8,3,100,0
3,1016277,8,40,80,100,16,3,700,0
4,1017023,6,5,10,300,4,3,100,0
5,1017122,10,50,100,800,40,9,700,1
6,1018099,3,5,10,100,40,3,100,0
7,1018561,4,5,20,100,4,3,100,0
8,1033078,4,5,10,100,4,1,100,0
9,1033078,6,10,10,100,4,2,100,0
10,1035283,3,5,10,100,4,3,100,0
11,1036172,4,5,10,100,4,2,100,0
12,1041801,7,15,30,300,12,4,400,1
13,1043999,3,5,10,100,12,3,100,0
14,1044572,10,35,50,1000,36,5,500,1
15,1047630,9,20,60,400,4,4,300,1
16,1048672,6,5,10,100,4,2,100,0
17,1049815,6,5,10,100,4,3,100,0
18,1050670,12,35,70,600,40,4,100,1
19,1050718,8,5,10,100,4,3,100,0
20,1054590,9,15,20,1000,40,5,400,1
21,1054593,12,25,50,300,28,7,1000,1
22,1056784,5,5,10,100,4,2,100,0
23,1057013,10,20,50,100,-4,7,300,1
24,1059552,3,5,10,100,4,3,100,0
25,1065726,7,10,30,400,28,3,600,1
26,1066373,5,10,10,100,4,2,100,0
27,1066979,7,5,10,100,4,2,100,0
28,1067444,4,5,10,100,4,2,100,0
29,1070935,3,5,30,100,4,1,100,0
30,1070935,5,5,10,100,4,2,100,0
31,1071760,4,5,10,100,4,3,100,0
32,1072179,12,35,70,300,20,7,400,1
33,1074610,4,5,10,200,4,3,100,0
34,1075123,5,5,20,100,4,2,100,0
35,1079304,4,5,10,100,4,2,100,0
36,1080185,12,50,100,800,4,8,900,1
37,1081791,8,10,10,100,4,7,100,0
38,1084584,7,20,40,900,40,5,600,1
39,1091262,4,25,30,300,28,7,500,1
40,1096800,8,30,60,900,-4,7,800,0
41,1099510,12,20,30,100,12,6,500,1
42,1100524,8,50,100,200,40,7,300,1
43,1102573,7,30,50,600,4,3,100,1
44,1103608,12,50,100,400,4,8,1000,1
45,1103722,3,5,10,100,4,2,100,0
46,1105257,5,35,70,400,36,4,800,1
47,1105524,3,5,10,100,4,2,100,0
48,1106095,6,5,10,300,4,3,100,0
49,1106829,9,40,70,200,32,3,800,1
50,1108370,11,25,80,100,12,2,100,1
51,1108449,7,15,30,400,16,3,400,1
52,1110102,12,15,60,200,20,4,1000,1
53,1110503,7,25,50,800,32,7,300,1
54,1110524,12,25,50,600,32,7,100,1
55,1111249,12,30,60,300,20,3,600,1
56,1112209,10,50,100,100,24,3,900,1
57,1113038,10,10,40,100,4,5,400,1
58,1113483,7,10,30,100,40,5,100,1
59,1113906,11,25,50,200,8,5,100,1
60,1115282,7,15,50,500,12,4,1000,1
61,1115293,3,5,10,100,8,2,100,0
62,1116116,11,50,100,100,32,3,300,1
63,1116132,8,15,40,100,8,3,900,1
64,1116192,3,5,10,100,4,2,100,0
65,1116998,12,20,20,100,8,4,300,1
66,1117152,6,5,10,100,4,3,100,0
67,1118039,7,15,40,100,40,4,900,1
68,1120559,10,15,80,300,36,8,900,1
69,1121732,3,5,10,100,4,3,200,0
70,1121919,7,5,30,100,4,2,100,0
71,1123061,8,50,20,800,8,7,800,1
72,1124651,3,15,30,200,4,7,200,0
73,1125035,11,20,50,1000,40,4,800,1
74,1126417,12,30,40,100,16,3,200,1
75,1131294,3,5,20,100,8,4,200,0
76,1132347,3,5,40,100,4,2,100,0
77,1133041,7,15,10,200,4,2,100,0
78,1133136,5,5,10,100,12,3,100,0
79,1136142,4,5,10,100,4,2,100,0
80,1137156,4,10,20,100,4,7,100,0
81,1143978,6,5,10,200,4,2,100,0
82,1143978,7,10,10,100,4,3,100,0
